pattern_id,template_id,context_id,failure_evidence_count,pass_contrast_count,related_pattern_count,evidence_status,build_statuses,confirmed_build_count,local_pass_build_count
pat-8241d235335d08ce,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,5,2,3,observed_region,"{""idm_ref"": {""failures"": 5, ""observed"": 5, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-d41d92eba31dd457,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,21,3,0,observed_region,"{""idm_ref"": {""failures"": 32, ""observed"": 39, ""passes"": 7, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-f16263bcbdeaa055,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,4,1,3,observed_region,"{""idm_ref"": {""failures"": 6, ""observed"": 6, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-b393a4a56a6e05b0,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,2,1,6,observed_region,"{""idm_ref"": {""failures"": 3, ""observed"": 3, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-5b5f129e0e2cde5d,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,4,1,0,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-37b1256dbc27009d,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,6,1,0,observed_region,"{""idm_ref"": {""failures"": 6, ""observed"": 6, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-71281fd96ae0cbd9,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,3,contrast_available,"{""idm_ref"": {""failures"": 3, ""observed"": 6, ""passes"": 3, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-b5c30a51966bd8a7,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,3,contrast_available,"{""idm_ref"": {""failures"": 5, ""observed"": 7, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-bf43c41d17cac7a8,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,3,contrast_available,"{""idm_ref"": {""failures"": 6, ""observed"": 6, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-8cf7f8d264cc6772,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,0,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-7d5a8a06792741e9,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 2, ""observed"": 4, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-e5e016dd9a0eb4da,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 6, ""observed"": 6, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-5194daf161b303ec,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 2, ""observed"": 4, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-8064a687c692b24f,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,13,2,0,observed_region,"{""idm_ref"": {""failures"": 15, ""observed"": 15, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-b8737a9e4eaa9c1c,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 6, ""observed"": 6, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-b8c9919792dc66fb,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,4,1,1,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-f4c97131c784ca86,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,20,4,0,observed_region,"{""idm_ref"": {""failures"": 23, ""observed"": 26, ""passes"": 3, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-3d5f24308c1fddfa,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-7939bba9188a4575,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,8,2,1,observed_region,"{""idm_ref"": {""failures"": 8, ""observed"": 8, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-b3ba4482240e8084,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,7,3,0,observed_region,"{""idm_ref"": {""failures"": 7, ""observed"": 7, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-d2d57030c0f815cf,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,4,1,2,observed_region,"{""idm_ref"": {""failures"": 5, ""observed"": 5, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-170f213e13ce0d40,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,4,1,4,observed_region,"{""idm_ref"": {""failures"": 8, ""observed"": 8, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-ca39ab7e5cf3783b,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,4,1,1,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-40f2aecb5aaa37d7,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 8, ""observed"": 8, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-3ba5cf4040b6dd9e,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,5,1,0,observed_region,"{""idm_ref"": {""failures"": 5, ""observed"": 5, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-6a4c3c80e53ec93e,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 5, ""observed"": 5, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-f0c7ec5de4d7311d,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 7, ""observed"": 7, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-d3ed2fa7961324ca,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,4,1,0,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-6b46f638a961da85,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 2, ""observed"": 5, ""passes"": 3, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-aa59edca0a997d3b,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 3, ""observed"": 6, ""passes"": 3, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-c1e4898c794a2ddd,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 5, ""observed"": 6, ""passes"": 1, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-734c3e8b9b03cfd0,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 3, ""observed"": 5, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-5d0a167aecd9e6bb,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,3,1,2,observed_region,"{""idm_ref"": {""failures"": 5, ""observed"": 6, ""passes"": 1, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-5047423990d07ef3,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-d3ab77552c8af223,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 8, ""observed"": 8, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-bd10e0482b796604,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-afb9c9ac16772207,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 2, ""observed"": 2, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-3d3d82113a859bce,fbrt_lead_emergency_brake,legacy_exact:fbrt_lead_emergency_brake:d4693fd2ecc8,1,1,0,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 2, ""passes"": 1, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-3d2ba76def7175b1,fbrt_cutout_static,S02:research_v2:21bc34d1aa,1,0,0,singleton,"{""idm_ref"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}}",1,0
pat-a364820712bc283e,fbrt_cutout_static,S02:research_v2:21bc34d1aa,3,0,0,observed_region,"{""idm_ref"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 1, ""passes"": 1, ""status"": ""local_pass_evidence""}, ""ppo_ref_v2"": {""failures"": 3, ""observed"": 3, ""passes"": 0, ""status"": ""confirmed_present""}}",1,1
pat-1d6ee1fa75f06eaa,fbrt_cutout_static,S02:research_v2:21bc34d1aa,5,0,0,observed_region,"{""idm_ref"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 1, ""passes"": 1, ""status"": ""local_pass_evidence""}, ""ppo_ref_v2"": {""failures"": 7, ""observed"": 7, ""passes"": 0, ""status"": ""confirmed_present""}}",1,1
pat-a94a531352b5481c,fbrt_cutout_static,S02:research_v2:21bc34d1aa,4,0,0,observed_region,"{""idm_ref"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 1, ""passes"": 1, ""status"": ""local_pass_evidence""}, ""ppo_ref_v2"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}}",1,1
